Data,Curs_MDL
0,28.03.2005,0.2228
1,29.03.2005,0.2231
2,30.03.2005,0.2251
3,31.03.2005,0.2255
4,01.04.2005,0.2239
5,04.04.2005,0.2243
6,05.04.2005,0.2247
7,06.04.2005,0.2245
8,07.04.2005,0.2243
9,08.04.2005,0.2243
10,11.04.2005,0.2244
11,12.04.2005,0.2239
12,13.04.2005,0.2230
13,14.04.2005,0.2233
14,15.04.2005,0.2235
15,18.04.2005,0.2236
16,19.04.2005,0.2217
17,20.04.2005,0.2228
18,21.04.2005,0.2210
19,22.04.2005,0.2199
20,25.04.2005,0.2210
21,26.04.2005,0.2211
22,27.04.2005,0.2204
23,28.04.2005,0.2210
24,29.04.2005,0.2210
25,03.05.2005,0.2210
26,04.05.2005,0.2210
27,05.05.2005,0.2226
28,06.05.2005,0.2218
29,09.05.2005,0.2213
30,10.05.2005,0.2215
31,11.05.2005,0.2223
32,12.05.2005,0.2217
33,13.05.2005,0.2249
34,16.05.2005,0.2245
35,17.05.2005,0.2277
36,18.05.2005,0.2278
37,19.05.2005,0.2276
38,20.05.2005,0.2277
39,23.05.2005,0.2274
40,24.05.2005,0.2274
41,25.05.2005,0.2279
42,26.05.2005,0.2277
43,27.05.2005,0.2288
44,30.05.2005,0.2292
45,31.05.2005,0.2293
46,01.06.2005,0.2329
47,02.06.2005,0.2344
48,03.06.2005,0.2338
49,06.06.2005,0.2338
50,07.06.2005,0.2343
51,08.06.2005,0.2335
52,09.06.2005,0.2333
53,10.06.2005,0.2334
54,13.06.2005,0.2335
55,14.06.2005,0.2384
56,15.06.2005,0.2369
57,16.06.2005,0.2386
58,17.06.2005,0.2385
59,20.06.2005,0.2385
60,21.06.2005,0.2385
61,22.06.2005,0.2377
62,23.06.2005,0.2367
63,24.06.2005,0.2377
64,27.06.2005,0.2374
65,28.06.2005,0.2353
66,29.06.2005,0.2366
67,04.07.2005,0.2371
68,05.07.2005,0.2370
69,06.07.2005,0.2370
70,07.07.2005,0.2401
71,08.07.2005,0.2396
72,11.07.2005,0.2373
73,12.07.2005,0.2367
74,13.07.2005,0.2365
75,14.07.2005,0.2363
76,15.07.2005,0.2362
77,18.07.2005,0.2360
78,19.07.2005,0.2351
79,20.07.2005,0.2349
80,21.07.2005,0.2350
81,22.07.2005,0.2347
82,25.07.2005,0.2325
83,26.07.2005,0.2320
84,27.07.2005,0.2308
85,28.07.2005,0.2303
86,29.07.2005,0.2306
87,01.08.2005,0.2291
88,02.08.2005,0.2260
89,03.08.2005,0.2248
90,04.08.2005,0.2239
91,05.08.2005,0.2243
92,08.08.2005,0.2229
93,09.08.2005,0.2227
94,10.08.2005,0.2211
95,11.08.2005,0.2249
96,12.08.2005,0.2300
97,15.08.2005,0.2321
98,16.08.2005,0.2331
99,17.08.2005,0.2333
100,18.08.2005,0.2314
101,19.08.2005,0.2318
102,22.08.2005,0.2310
103,23.08.2005,0.2295
104,24.08.2005,0.2292
105,25.08.2005,0.2286
106,26.08.2005,0.2289
107,29.08.2005,0.2283
108,30.08.2005,0.2264
109,31.08.2005,0.2271
110,01.09.2005,0.2292
111,02.09.2005,0.2256
112,05.09.2005,0.2224
113,06.09.2005,0.2219
114,07.09.2005,0.2229
115,08.09.2005,0.2233
116,09.09.2005,0.2236
117,12.09.2005,0.2246
118,13.09.2005,0.2262
119,14.09.2005,0.2269
120,15.09.2005,0.2255
121,16.09.2005,0.2264
122,19.09.2005,0.2260
123,20.09.2005,0.2264
124,21.09.2005,0.2281
125,22.09.2005,0.2291
126,23.09.2005,0.2322
127,26.09.2005,0.2311
128,27.09.2005,0.2293
129,28.09.2005,0.2343
130,29.09.2005,0.2345
131,30.09.2005,0.2354
132,03.10.2005,0.2340
133,04.10.2005,0.2361
134,05.10.2005,0.2368
135,06.10.2005,0.2374
136,07.10.2005,0.2362
137,10.10.2005,0.2369
138,11.10.2005,0.2350
139,12.10.2005,0.2371
140,13.10.2005,0.2397
141,14.10.2005,0.2392
142,17.10.2005,0.2393
143,18.10.2005,0.2375
144,19.10.2005,0.2392
145,20.10.2005,0.2393
146,21.10.2005,0.2397
147,24.10.2005,0.2387
148,25.10.2005,0.2396
149,26.10.2005,0.2377
150,27.10.2005,0.2377
151,28.10.2005,0.2370
152,31.10.2005,0.2387
153,01.11.2005,0.2388
154,02.11.2005,0.2413
155,03.11.2005,0.2415
156,04.11.2005,0.2419
157,07.11.2005,0.2449
158,08.11.2005,0.2469
159,09.11.2005,0.2478
160,10.11.2005,0.2447
161,11.11.2005,0.2446
162,14.11.2005,0.2463
163,15.11.2005,0.2449
164,16.11.2005,0.2457
165,17.11.2005,0.2450
166,18.11.2005,0.2460
167,21.11.2005,0.2472
168,22.11.2005,0.2446
169,23.11.2005,0.2461
170,24.11.2005,0.2454
171,25.11.2005,0.2430
172,28.11.2005,0.2434
173,29.11.2005,0.2431
174,30.11.2005,0.2413
175,02.12.2005,0.2423
176,05.12.2005,0.2433
177,06.12.2005,0.2432
178,07.12.2005,0.2422
179,08.12.2005,0.2427
180,09.12.2005,0.2419
181,12.12.2005,0.2422
182,13.12.2005,0.2390
183,14.12.2005,0.2395
184,15.12.2005,0.2383
185,16.12.2005,0.2373
186,19.12.2005,0.2371
187,20.12.2005,0.2378
188,21.12.2005,0.2377
189,22.12.2005,0.2403
190,23.12.2005,0.2402
191,27.12.2005,0.2406
192,28.12.2005,0.2425
193,29.12.2005,0.2427
194,30.12.2005,0.2418
195,03.01.2006,0.2417
196,04.01.2006,0.2411
197,05.01.2006,0.2416
198,06.01.2006,0.2375
199,09.01.2006,0.2369
200,10.01.2006,0.2355
201,11.01.2006,0.2343
202,12.01.2006,0.2347
203,13.01.2006,0.2341
204,16.01.2006,0.2344
205,17.01.2006,0.2353
206,18.01.2006,0.2353
207,19.01.2006,0.2342
208,20.01.2006,0.2342
209,23.01.2006,0.2330
210,24.01.2006,0.2327
211,25.01.2006,0.2300
212,26.01.2006,0.2290
213,27.01.2006,0.2295
214,30.01.2006,0.2314
215,31.01.2006,0.2316
216,01.02.2006,0.2315
217,02.02.2006,0.2309
218,03.02.2006,0.2311
219,06.02.2006,0.2309
220,07.02.2006,0.2317
221,08.02.2006,0.2311
222,09.02.2006,0.2293
223,10.02.2006,0.2286
224,13.02.2006,0.2278
225,14.02.2006,0.2281
226,15.02.2006,0.2280
227,16.02.2006,0.2290
228,17.02.2006,0.2279
229,20.02.2006,0.2276
230,21.02.2006,0.2270
231,22.02.2006,0.2276
232,23.02.2006,0.2277
233,24.02.2006,0.2277
234,27.02.2006,0.2277
235,28.02.2006,0.2261
236,01.03.2006,0.2258
237,02.03.2006,0.2258
238,03.03.2006,0.2244
239,06.03.2006,0.2244
240,07.03.2006,0.2249
